Sr No.,District,Gini Index
,India,0.35
1,South Andaman,0.33
2,Nicobar,0.33
3,North and Middle,0.3
,Andaman Andaman and Nicobar Islands,0.33
4,West Godavari,0.26
5,Prakasam,0.24
6,Krishna,0.33
7,Sri Potti Sriramulu,0.27
8,Nellore Srikakulam,0.27
9,East Godavari,0.28
10,Y.S.R.,0.35
11,Guntur,0.33
12,Chittoor,0.31
13,Visakhapatnam,0.42
14,Anantapur,0.27
15,Vizianagaram,0.28
16,Kurnool,0.26
,Andhra Pradesh,0.32
17,West Kameng,0.23
18,Papum Pare,0.3
19,Upper Subansiri,0.29
20,East Siang,0.28
21,Lower Subansiri,0.33
22,Kurung Kumey,0.23
23,Upper Siang,0.34
24,Dibang Valley,0.34
25,Anjaw,0.34
26,Changlang,0.3
27,East Kameng,0.29
28,Tawang,0.37
29,Lower Dibang Valley,0.25
30,Tirap,0.22
31,West Siang,0.31
32,Lohit,0.31
,Arunachal Pradesh,0.34
33,Dibrugarh,0.27
34,Kamrup,0.31
35,Metropolitan Tinsukia,0.24
36,Dhemaji,0.18
37,Morigaon,0.17
38,Kamrup,0.24
39,Chirang,0.2
40,Nalbari,0.26
41,Sivasagar,0.23
42,Golaghat,0.22
43,Lakhimpur,0.21
44,Nagaon,0.24
45,Jorhat,0.31
46,Udalguri,0.19
47,Bongaigaon,0.27
48,Barpeta,0.21
49,Sonitpur,0.19
50,Goalpara,0.24
51,Baksa,0.2
52,Darrang,0.22
53,Dhubri,0.24
54,Kokrajhar,0.23
55,North Cachar Hills,0.19
56,Karbi Anglong,0.17
57,Cachar,0.19
58,Karimganj,0.19
59,Hailakandi,0.21
,Assam,0.26
60,Khagaria,0.2
61,Saharsa,0.23
62,Gopalganj,0.17
63,Begusarai,0.21
64,Jehanabad,0.23
65,Madhubani,0.25
66,Siwan,0.19
67,Supaul,0.21
68,Samastipur,0.2
69,Araria,0.23
70,Vaishali,0.25
71,Nawada,0.16
72,Purnia,0.18
73,Patna,0.34
74,Kishanganj,0.24
75,Munger,0.26
76,Darbhanga,0.2
77,Pashchim,0.22
78,Champaran Lakhisarai,0.22
79,Saran,0.23
80,Arwal,0.21
81,Gaya,0.21
82,Madhepura,0.22
83,Rohtas,0.23
84,Sheikhpura,0.21
85,Banka,0.19
86,Aurangabad,0.19
87,Purba Champaran,0.23
88,Katihar,0.2
89,Muzaffarpur,0.24
90,Bhojpur,0.23
91,Bhagalpur,0.24
92,Kaimur Bhabua,0.21
93,Buxar,0.23
94,Sheohar,0.26
95,Jamui,0.21
96,Nalanda,0.27
97,Sitamarhi,0.21
,Bihar,0.24
98,Chandigarh,0.39
99,Jashpur,0.22
100,Koriya,0.26
101,Bilaspur,0.32
