"dyid","Country","State","District","SDP","Gini.Index","SourceYear.y","Dichlorophenoxyacetic.acid","Silver","Aluminium","SourceYear","Alkalinity.Phenolphthalein","Arsenic","Boron","Biochemical.Oxygen.Demand","cyanides","Carbonate","Calcium","Cadimum","Chemical.Oxygen.Demand","Chlorophyll.a","Chloride","Chromium","Copper","Disolved.Oxygen","Disolved.Oxygen.Saturation","Dichlorodiphenyltrichloroethane","Dieldrin","Conductivity","Endosulfan","Fluorine","Faecal.Coliform.MPN","Iron","Hardness.Calcium","Hardness.Total","Hydrogencarbonate","Mercury","Potassium","Magnesium","Manganese","Ammonia","Nitrate.and.nitrite","Nitrate","Nitrate.Nitrogen","Sodium","sodium","Nickel","Amount.of.Organic.N","Lead","Phenols","Phosphorus.Tot","Residual.Sodium.Carbonate"
"2006_ADILABAD","India","TELANGANA","ADILABAD","102977",0.37,2006,NA,NA,NA,NA,6.37025,NA,0.335833333333333,1.4,NA,7.675,31.4166666666667,NA,NA,NA,11.5966666666667,NA,NA,7.51666666666667,91.1810916666667,NA,NA,484,NA,0.596916666666667,1337.5,0.0217,NA,166.038583333333,246.160833333333,NA,2.05275,20.99925,NA,0.20241,1.50443333333333,0.04485,1.45958333333333,37.9883333333333,31.9088333333333,NA,NA,NA,NA,NA,0.994895
"2004_ADILABAD","India","TELANGANA","ADILABAD",NA,0.37,2004,NA,NA,NA,NA,10.1329166666667,NA,0.31604166675,1.25277777775,NA,12.2083333333333,29.4947083330833,NA,NA,NA,13.4187777775,NA,NA,7.82708333325,94.0469750008333,NA,NA,491.097222216667,NA,0.667270833416667,715.625,0.020830303,NA,175.81693195,281.941111108333,NA,2.57333055566667,24.4992333325,NA,0.19819356325,1.91128993058333,0.0461460389166667,1.86514491666667,44.989838195,34.9936104175,NA,NA,NA,NA,NA,1.54040260408333
"2011_ADILABAD","India","TELANGANA","ADILABAD","160602",0.37,2011,NA,NA,NA,0,4.84235833333333,NA,0.2865,2.06666666666667,NA,5.83416666666667,34.775,0,35.6933333333333,NA,15.5583333333333,0,NA,7.78333333333333,94.22575,0,0.022,501.25,0.138,0.584,204.166666666667,0.383333333333333,NA,193.003166666667,253.713333333333,NA,2.072398,25.45575,NA,0.195836666666667,1.41360083333333,0.0328666666666667,1.38073433333333,46.792,34.12396,0.55,NA,5.12,NA,NA,0.57644825
"2002_ADILABAD","India","TELANGANA","ADILABAD",NA,0.37,2002,NA,NA,NA,NA,4.62725,NA,0.635833333333333,0.999999999916667,NA,5.575,29.5277777783333,NA,NA,NA,14.5555555555833,NA,NA,7.55138888891667,90.2144541666667,NA,NA,500.444444433333,NA,0.664861111166667,3513.19444416667,0.0544444444444444,NA,169.947908341667,290.402777775,NA,2.22333333333333,23.0708333325,NA,0.26972222225,1.20866666666667,0.0218611111666667,1.18638888891667,44.0972222233333,35.1299569458333,NA,NA,NA,NA,NA,1.57387705558333
"2016_ADILABAD","India","TELANGANA","ADILABAD","455731",0.37,2016,NA,NA,NA,NA,5.229,2.35,0.395833333333333,6.84166666666667,NA,6.3,37.7491666666667,0.196666666666667,47.7083333333333,NA,15.1516666666667,3.57333333333333,4.98666666666667,6.325,74.2338833333333,NA,NA,476.833333333333,NA,0.524166666666667,300.833333333333,0.0603,NA,170.425,240.866666666667,NA,2.42833333333333,18.2525,NA,0.267636363636364,4.63933333333333,0.057,4.58233333333333,40.3216666666667,33.032825,1.47666666666667,NA,0.95,NA,NA,0.772595525
"2005_ADILABAD","India","TELANGANA","ADILABAD","92751",0.37,2005,NA,NA,NA,NA,7.20025,NA,0.2255555555,1.50833333325,NA,8.675,31.8909666666667,NA,NA,NA,11.3129444433333,NA,NA,7.70833333333333,93.4975250008333,NA,0.01,450.638888883333,0.1,0.92097222225,539.583333333333,0.0309972221666667,NA,174.070272216667,255.960277775,NA,1.87897222225,22.6422944441667,NA,0.0980723888333333,1.38344972225,0.05670102775,1.3267485,39.3213583333333,31.7899111108333,NA,NA,62,NA,NA,1.02998168883333
"2017_ADILABAD","India","TELANGANA","ADILABAD","498145",0.37,2017,NA,NA,NA,NA,9.1715,2.74,0.54425,1.94166666666667,NA,11.05,34.81,0.0615,71.55,NA,21.24,10.93,3.97,7.525,80.0132416666667,NA,NA,641.666666666667,NA,1.25825,837.5,0.227666666666667,567.1875,192.46875,311.059166666667,NA,2.53333333333333,24.7858333333333,NA,0.528416666666667,2.67808333333333,0.07675,2.60133333333333,53.8058333333333,37.3753166666667,12.42,NA,4.43,NA,0.111,1.6820325
"2019_ADILABAD","India","TELANGANA","ADILABAD","572736",0.37,2019,NA,NA,NA,NA,0.296428571428571,NA,0.3372,2.9875,NA,0.357142857142857,39.1625,NA,37.0125,NA,18.1225,NA,NA,NA,6.35,NA,NA,478,NA,0.638571428571429,4292.5,NA,517.263125,206.90525,251.08,NA,2.3325,17.49125,NA,17.008,NA,NA,NA,32.12,NA,NA,NA,NA,NA,0.0473333333333333,NA
"2007_ADILABAD","India","TELANGANA","ADILABAD","113456",0.37,2007,NA,NA,NA,0.02,5.95525,NA,0.53,1.43333333333333,NA,7.175,33.0333333333333,8,54.8857142857143,NA,14.4366666666667,48,NA,7.55833333333333,93.4961583333333,0.1,0.08,475.833333333333,0.1,0.695083333333333,637.5,0.01705,NA,173.79275,244.3775,1.184,1.88983333333333,21.89025,NA,0.41301,2.18212333333333,0.092,2.09012333333333,36.2825,29.9938,1,NA,70,NA,NA,0.81200725
"2015_ADILABAD","India","TELANGANA","ADILABAD","416892",0.37,2015,NA,NA,NA,NA,3.5773,1.17,0.349166666666667,3.7,NA,4.31,31.9658333333333,1,63.5833333333333,NA,16.6825,5.7,NA,7,83.99195,NA,NA,516.666666666667,NA,0.41875,308.333333333333,0.0613333333333333,NA,188.44575,275.095,0.026,2.09583333333333,26.0475,NA,0.0759166666666667,9.95866666666667,0.0179166666666667,9.94075,41.0108333333333,31.5820916666667,2.52,NA,13,NA,NA,0.942467083333333
